MAL11E,CBA1R8C1
CCK955,CCK 600
OT,OT
,nal1200
,CCK1500
,
197.93827,331.78147
197.96036,331.85156
197.99219,332.14203
198.34324,332.31511
198.42982,332.66466
198.65075,332.84429
198.68711,333.21654
198.72752,333.28116
198.76048,333.33801
198.8361,334.0026
199.57001,334.26773
200.03512,334.80923
200.11596,334.91648
200.3148,334.9785
200.40622,335.23578
200.52789,335.46793
200.79409,337.29733
200.85605,337.36845
200.8878,337.4061
201.03965,337.54966
201.28011,337.61548
201.38154,337.67153
201.84595,337.87962
201.86993,338.62397
202.16296,338.96156
202.25615,339.00916
202.39962,339.07828
202.41319,339.17647
202.44687,339.34618
202.51185,339.71391
202.5882,339.92526
202.82171,340.07973
202.87416,340.85741
202.9172,340.98444
203.36917,341.04767
203.52764,341.09788
203.57429,341.25858
203.87944,341.37522
203.90122,341.49923
203.93748,342.56043
203.95851,342.66949
204.67816,342.81603
204.86617,342.95328
205.07907,342.99419
205.35652,343.46076
205.39124,343.96808
205.4061,344.25952
205.55896,345.18834
205.69696,345.22088
205.82405,345.28348
206.03159,345.73048
206.11749,345.87683
206.28291,345.90645
206.46263,346.12177
206.51999,346.52655
206.60497,347.59645
206.80361,347.81774
206.95405,347.87271
207.35065,347.91232
207.39157,347.94324
207.44948,348.01928
207.47466,349.08186
207.50111,349.71507
207.77614,349.76388
207.87713,350.91977
208.03544,351.007
208.11338,351.07349
208.15777,351.43732
208.26837,351.56926
208.57089,351.63445
208.60914,352.01196
208.64652,353.24028
208.84557,353.43684
208.88813,353.50102
208.93232,353.69365
208.96199,354.22233
208.9965,354.52582
209.05736,355.01976
209.0887,356.10166
209.42703,356.54532
209.47268,356.65831
209.52036,356.71687
209.69782,356.95241
209.74956,357.06096
209.86074,357.11958
210.12737,357.20296
210.32955,357.84448
210.55683,357.91526
210.79135,358.03028
210.83715,358.39938
210.91548,358.52357
210.95456,358.60013
210.98919,358.78219
211.01531,359.24159
211.57757,359.30281
211.61088,359.82258
211.69468,360.13159
211.80743,360.31981
212.30634,362.01715
212.51202,362.22529
212.53574,362.29143
212.63415,362.354
212.75026,362.53507
212.98937,362.59427
213.01477,362.66409
213.23168,362.7768
213.29602,363.81452
